placeDcid,placeName,Date:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Value:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Source:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Date:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Value:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Source:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Date:Percent_Person_Obesity,Value:Percent_Person_Obesity,Source:Percent_Person_Obesity,Date:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Value:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Source:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit
geoId/13015,Bartow County,2020,16431,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,5287,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,30.8,https://www.cdc.gov/places/index.html,2018,4495356000,https://www.bea.gov/,2020,41684,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/16083,Twin Falls County,2020,9341,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,2976,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,30.3,https://www.cdc.gov/places/index.html,2018,3323275000,https://www.bea.gov/,2020,33785,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/18091,LaPorte County,2020,17468,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,4245,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,38.9,https://www.cdc.gov/places/index.html,2018,3940402000,https://www.bea.gov/,2020,49231,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/28107,Panola County,2020,10340,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1315,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,47.3,https://www.cdc.gov/places/index.html,2018,1028548000,https://www.bea.gov/,2020,15094,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/37115,Madison County,2020,1937,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,838,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,32.4,https://www.cdc.gov/places/index.html,2018,370832000,https://www.bea.gov/,2020,11067,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2020,7456,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,255,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,,,,,,,2020,12921,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72141,Utuado Municipio,2020,8194,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,438,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,,,,,,,2020,13375,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04013,Maricopa County,2020,726583,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,124543,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,30,https://www.cdc.gov/places/index.html,2018,220789933000,https://www.bea.gov/,2020,1765880,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06053,Monterey County,2020,67781,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,13861,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,28.4,https://www.cdc.gov/places/index.html,2018,25834713000,https://www.bea.gov/,2020,141910,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/13317,Wilkes County,2020,2074,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,698,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,38.3,https://www.cdc.gov/places/index.html,2018,299631000,https://www.bea.gov/,2020,5166,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/16037,Custer County,2020,310,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,189,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,29.1,https://www.cdc.gov/places/index.html,2018,177291000,https://www.bea.gov/,2020,3252,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/18019,Clark County,2020,18208,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,3736,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,37.5,https://www.cdc.gov/places/index.html,2018,4380616000,https://www.bea.gov/,2020,51138,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/21149,McLean County,2020,932,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,249,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,36.1,https://www.cdc.gov/places/index.html,2018,331604000,https://www.bea.gov/,2020,4285,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/39051,Fulton County,2020,5133,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,893,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,37.5,https://www.cdc.gov/places/index.html,2018,1984068000,https://www.bea.gov/,2020,17584,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/40025,Cimarron County,2020,230,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,108,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,36.5,https://www.cdc.gov/places/index.html,2018,227759000,https://www.bea.gov/,2020,1579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/41053,Polk County,2020,10867,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,2215,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,31.2,https://www.cdc.gov/places/index.html,2018,1800079000,https://www.bea.gov/,2020,32572,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/48265,Kerr County,2020,8175,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,2511,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35,https://www.cdc.gov/places/index.html,2018,1680749000,https://www.bea.gov/,2020,24796,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/17063,Grundy County,2020,5815,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1334,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,32.6,https://www.cdc.gov/places/index.html,2018,3145931000,https://www.bea.gov/,2020,21113,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/36073,Orleans County,2020,5233,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1164,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,37.4,https://www.cdc.gov/places/index.html,2018,1244000000,https://www.bea.gov/,2020,18576,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/50003,Bennington County,2020,4873,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,542,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,28.1,https://www.cdc.gov/places/index.html,2018,1523183000,https://www.bea.gov/,2020,21189,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08045,Garfield County,2020,6384,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,3138,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,23.7,https://www.cdc.gov/places/index.html,2018,4243642000,https://www.bea.gov/,2020,23983,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/25017,Middlesex County,2020,172148,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,14463,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,21.1,https://www.cdc.gov/places/index.html,2018,157384459000,https://www.bea.gov/,2020,641278,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/48383,Reagan County,2020,273,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,182,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,39.4,https://www.cdc.gov/places/index.html,2018,5977463000,https://www.bea.gov/,2020,1331,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/51099,King George County,2020,2916,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,615,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,31,https://www.cdc.gov/places/index.html,2018,1734726000,https://www.bea.gov/,2020,10162,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/51101,King William County,2020,2502,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,541,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,34.8,https://www.cdc.gov/places/index.html,2018,437413000,https://www.bea.gov/,2020,7107,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/26083,Keweenaw County,2020,151,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,52,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,33.8,https://www.cdc.gov/places/index.html,2018,62345000,https://www.bea.gov/,2020,2473,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/26115,Monroe County,2020,18457,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,3751,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.4,https://www.cdc.gov/places/index.html,2018,5644944000,https://www.bea.gov/,2020,64760,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/29149,Oregon County,2020,1513,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,553,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.2,https://www.cdc.gov/places/index.html,2018,207913000,https://www.bea.gov/,2020,5466,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/37097,Iredell County,2020,27733,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,5886,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,33.5,https://www.cdc.gov/places/index.html,2018,7394300000,https://www.bea.gov/,2020,75619,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/46015,Brule County,2020,449,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,73,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.5,https://www.cdc.gov/places/index.html,2018,291223000,https://www.bea.gov/,2020,2572,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/47163,Sullivan County,2020,23368,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,6128,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,34.2,https://www.cdc.gov/places/index.html,2018,7134333000,https://www.bea.gov/,2020,75518,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/48017,Bailey County,2020,1026,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,267,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,37.9,https://www.cdc.gov/places/index.html,2018,475400000,https://www.bea.gov/,2020,2677,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/48325,Medina County,2020,7205,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1894,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,38.4,https://www.cdc.gov/places/index.html,2018,872982000,https://www.bea.gov/,2020,18703,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/13149,Heard County,2020,1937,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,624,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,32.8,https://www.cdc.gov/places/index.html,2018,1132700000,https://www.bea.gov/,2020,5231,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/21141,Logan County,2020,4064,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1217,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,38.6,https://www.cdc.gov/places/index.html,2018,1193555000,https://www.bea.gov/,2020,12361,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/23001,Androscoggin County,2020,13198,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,3341,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,33.5,https://www.cdc.gov/places/index.html,2018,4266879000,https://www.bea.gov/,2020,50053,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/28065,Jefferson Davis County,2020,2547,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,733,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,44.5,https://www.cdc.gov/places/index.html,2018,181652000,https://www.bea.gov/,2020,5985,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/29199,Scotland County,2020,456,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,256,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,34.5,https://www.cdc.gov/places/index.html,2018,129648000,https://www.bea.gov/,2020,2372,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/42107,Schuylkill County,2020,23215,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,5084,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.4,https://www.cdc.gov/places/index.html,2018,4810715000,https://www.bea.gov/,2020,69965,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/46109,Roberts County,2020,2357,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,566,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,36.7,https://www.cdc.gov/places/index.html,2018,327352000,https://www.bea.gov/,2020,5088,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/12099,Palm Beach County,2020,250392,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,60430,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,30,https://www.cdc.gov/places/index.html,2018,72270528000,https://www.bea.gov/,2020,690075,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
